,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LSAMP-AS1,169.22203728194086,-3.381447975822674,0.4040251920610356,-8.36939884508945,5.791291808718273e-17,4.238067345620032e-13
RP11-403A3.3,24.316988951703014,6.173851729579506,0.8566021436873142,7.2073736624142155,5.704132018724969e-13,2.0871419056514664e-09
GFAP,613.7090489633214,2.071713659906088,0.2909928733992951,7.119465283479024,1.0834657268251076e-12,2.6429340629687127e-09
NEAT1,1323.9787345013856,2.2673158178818293,0.33043108702638857,6.8616904005183965,6.805042391815118e-12,1.2449825055825757e-08
SLC6A1-AS1,78.23657833557397,-3.954690828192367,0.5798892573386304,-6.819734592674128,9.120885814401622e-12,1.3349328477958214e-08
NKAIN3,463.6583909743037,-2.2140377379628093,0.3321200472398935,-6.666377884631542,2.6219365102688385e-11,2.7410473403067656e-08
SLC7A2,54.636031331645306,2.5338318321796955,0.3795121546362187,6.676549884439142,2.4463282211657052e-11,2.7410473403067656e-08
ITGB4,116.16352287476327,2.0482904302460847,0.3130027022014981,6.544002386687003,5.989384047895052e-11,5.478789057811999e-08
GNA14-AS1,41.81692021509329,-3.482207812790176,0.5683825878090822,-6.1265209165060455,8.982140355926456e-10,7.303478124963312e-07
RP11-3B12.2,46.165790395638346,-2.6980616380321,0.45621224466428756,-5.914049150560437,3.3379820636306315e-09,2.442735274164896e-06
GLUD1,187.26588698801615,-1.777262114308921,0.30761795727382274,-5.77749793952019,7.581965010762545e-09,4.623734995730026e-06
SGCD,161.88791322818557,-1.8874488414174817,0.32588120088767675,-5.791830999383235,6.962318250303678e-09,4.623734995730026e-06
AC002429.5,107.34918254480364,-3.035602558613752,0.532629211842823,-5.699279144136668,1.2031508123250997e-08,6.772813572765445e-06
TMEM241,39.1299032869001,-2.868448400146424,0.5132819364726503,-5.58844602999051,2.291105582015313e-08,1.1975936177991472e-05
RP11-39M21.1,62.839939037852396,-2.3616866519892064,0.4266726556341988,-5.535125396022476,3.11005766465508e-08,1.5172934659963918e-05
RNF219-AS1,438.8460186989598,-1.930957552975037,0.3502285952815635,-5.513420602971208,3.519258363228349e-08,1.609620793881566e-05
ARHGEF3,39.63983904923555,2.1706184545967946,0.4006446173052002,5.417815093078553,6.033176290874563e-08,2.5971049468600033e-05
ARHGAP24,94.70500156541594,-2.458475254199209,0.48057019810316687,-5.1157463860699774,3.1250272228549087e-07,0.00012704971787140122
P2RY14,57.29856910140012,-2.3767040568398725,0.4681212716640295,-5.077111852643245,3.8321529740648396e-07,0.00014759839718003417
RP11-116O11.1,21.572494617539437,-3.597285658525979,0.7178805497519427,-5.010980809786515,5.415331534411584e-07,0.00019814698084411983
SAT1,129.40354512072022,-1.67141941489228,0.3412753857351942,-4.897568019128061,9.70300518769811e-07,0.0003381266283979751
DLC1,354.5411652605262,-1.5249547059977713,0.3158623421334744,-4.827909195181516,1.3797397656242409e-06,0.0004144602193927611
NRXN1,1038.0654247008813,-2.0068696318577923,0.4160658346933132,-4.82344250480715,1.4110145372443381e-06,0.0004144602193927611
PDE4D,257.87649403150607,-1.4364827554311832,0.29762105544145157,-4.826549496978617,1.3891887957965382e-06,0.0004144602193927611
APLNR,26.87764438818651,2.586119126567772,0.5362328123957559,4.822754346220683,1.4158930698030919e-06,0.0004144602193927611
LRRC4C,216.0337926458841,-1.5625558720841939,0.32595843887788895,-4.793727315246963,1.6371076419267305e-06,0.0004437168045785116
PCDH9-AS2,103.28535984777388,-1.8262424267182455,0.38039546763288007,-4.8009048006869355,1.5795034764136703e-06,0.0004437168045785116
