,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RBFOX1,164.65434149674127,-1.7131970657829674,0.2825135730748139,-6.064123033583546,1.3267556631451198e-09,3.035616957276034e-06
PTPRT,67.96624306745842,-2.0383921920671915,0.38769381058352836,-5.257737256623088,1.4583867959068109e-07,0.00016683944945173915
NEAT1,48.11871001294505,1.9273275896633608,0.37510664988818143,5.138078970975037,2.7756124440741757e-07,0.00018056699299359404
SLC26A3,16.27091529380745,3.984105237368703,0.7855799395931976,5.071546556333682,3.945957014720149e-07,0.00018056699299359404
FKBP5,37.591299918938184,2.4145685173100344,0.4727819499575895,5.1071503840758545,3.270534568623954e-07,0.00018056699299359404
NR2F2-AS1,24.779352199778803,-3.126453344356068,0.628911347272985,-4.971214715575805,6.653471325351449e-07,0.0002174734627486302
HIF3A,77.38941345192977,1.7255211728049251,0.34593173444471165,4.988039549406259,6.099508398587498e-07,0.0002174734627486302
CNTN5,50.85468918758585,-2.0153349104315756,0.42156588269804407,-4.78059300608798,1.7477887714624447e-06,0.0004998675886382592
MT-CYB,52.400903873958725,2.354743753137016,0.5075000869520321,4.639888373772006,3.4859742397788807e-06,0.0008862121178460088
MT-ND1,31.813539347436176,2.3698731076224666,0.5154658430598865,4.597536654523074,4.2751543332676755e-06,0.0009781553114516443
LINGO1,365.32212781035736,2.760050410553288,0.6094409927567042,4.528823041700334,5.9313146296361165e-06,0.0012337134429643121
NELL1,64.46785631803492,-1.5011674426983437,0.33964086994022863,-4.419866911077354,9.876170555937839e-06,0.0018830565193321477
MGLL,23.01361677211131,1.9192439250255726,0.4519281340593351,4.246790098652253,2.168549437084818e-05,0.0038166470092692796
RP11-116O11.1,22.37401716166521,-2.304430790022574,0.562852673254183,-4.094198889914304,4.236305557634507e-05,0.006923333654191251
LSAMP-AS1,56.767627469410876,-2.308546480708053,0.5730992725379064,-4.028179045638833,5.621053024502537e-05,0.008573979546707869
MT-ND4,100.03539108077781,2.1568404555008254,0.5375802946291753,4.01212707580478,6.017409159756166e-05,0.008604895098451318
DNAJB2,41.028420400111536,2.8577462307974075,0.7221387244478326,3.9573369133230187,7.578999821918738e-05,0.00963375088475004
MT-ND2,41.55493150051077,1.8835152989768162,0.4747561653659256,3.9673319408607743,7.268172983396246e-05,0.00963375088475004
BCL6,27.532906218006342,1.6150346789960317,0.40966159723642276,3.942362891447614,8.068277520783176e-05,0.009715904719764162
APOE,44.10373932539972,-1.5518374656592964,0.4003911405088914,-3.875803704564824,0.0001062733342488342,0.012157669438066633
TSPYL2,23.54051511686468,1.7621589926189025,0.45768079789041527,3.8501921005670523,0.00011802521798247194,0.012859128511614085
LINC00486,1708.8911416408457,1.6392354823699242,0.42850442224797697,3.8254808988209064,0.0001305170545673433,0.013573773675003703
ABCC8,19.515279345289972,1.8331076347070578,0.4820521262534162,3.802716625179634,0.000143118028363674,0.01380801858273904
GPC6,136.07074027554583,-1.248990760513626,0.32870299357816074,-3.7997547479488776,0.00014483935576299693,0.01380801858273904
CH507-513H4.1,16.714994275577812,1.987230456070127,0.5266196303291634,3.773559399652477,0.0001609348796051381,0.014728760181462238
SLC6A1-AS1,23.736330238309595,-2.4849837441657154,0.666648975984911,-3.7275745312507027,0.00019333139743696968,0.017013162974453332
RP11-39M21.1,15.800315438376217,-2.612228997102063,0.7050454483194327,-3.7050505089120844,0.0002113486133274654,0.0172702009747586
BCYRN1,14.479411689971167,3.122655680329966,0.8407837612463911,3.71398191099801,0.00020402338391423513,0.0172702009747586
C1orf21,46.78467116979226,-1.3661349329877508,0.3698180125068203,-3.694073535594906,0.000220689935343407,0.017411674898817765
ANKS1B,224.51870581734929,-1.316643912803222,0.35807589648345955,-3.6769967644667787,0.00023599603269484088,0.017998630760193198
TMEM259,25.057970497623412,1.6108471604898105,0.43954465307862145,3.6648089089635176,0.0002475233233763787,0.018268818189843695
MT3,85.95193042904971,1.350102617388525,0.36963075621369057,3.652571098840068,0.0002596276782237106,0.01856337899299531
CSPG4,33.96449128296649,1.3757061371890393,0.37774627451467363,3.641878768907884,0.0002706555330014585,0.018765450288101122
MT-CO3,90.86486617681025,1.6915525272652758,0.47224534552743963,3.5819358375592265,0.0003410575678365176,0.02293965515450165
B3GAT1,20.592149383255755,1.6792527575246474,0.4697882004713881,3.574489005555431,0.00035091255699631023,0.02293965515450165
SPOCK1,85.25406904536433,1.005407906940279,0.2834414472459075,3.547144980769201,0.0003894302213150038,0.023195784724822966
SPP1,44.81224377485112,2.1165495398682275,0.5960759207769943,3.55080530196434,0.00038405441258488503,0.023195784724822966
RANGAP1,17.9789176005883,2.773161562360964,0.782683246748803,3.543146699358179,0.00039538269417311873,0.023195784724822966
BCOR,20.868332514633227,2.155181612841938,0.6062937873280776,3.5546820005195374,0.00037843649318467155,0.023195784724822966
ZFPM2,195.7629789415162,1.1231022781376223,0.3200520738567489,3.5091235766849245,0.0004495859603198331,0.025716316930294456
ABCA2,34.06974010672218,1.4815762151399274,0.42738147996929154,3.4666364467790753,0.0005270141730073191,0.029409961654652345
GFAP,47.49942728742763,2.4873979581258574,0.7214410734492215,3.44781860870988,0.0005651334335772807,0.03078631657201948
GRAMD3,23.724836135033858,-1.6969645895528944,0.49723052382849064,-3.412832696767882,0.000642913982308481,0.03420900445399546
REV3L,123.89969227609491,-1.163577316569374,0.3485310835971182,-3.338518058591302,0.0008422655539714092,0.04370959027901982
AC012593.1,39.34098544129899,-1.5355063667482824,0.46072140538673806,-3.3328305322808913,0.0008596728857324702,0.04370959027901982
CNTN2,31.438132951481464,2.158000633509686,0.6521322355242135,3.3091457774280806,0.0009358109818465678,0.04654642448836842
LAMA4,19.656081735031737,-1.6802360207862226,0.5154298764562559,-3.2598731612889393,0.001114620480237244,0.04693678814281411
NKAIN3,71.00193948846332,-1.2718337612572543,0.39140796889129875,-3.2493813676299115,0.0011565630796496681,0.04693678814281411
RP11-257I14.1,18.859362928139188,-2.154898363367028,0.6597272168127265,-3.266347527358005,0.0010894445870871163,0.04693678814281411
DNAJB1,18.983453046028504,2.5290616536325783,0.7699900087271176,3.284538273182803,0.001021496230756587,0.04693678814281411
PCDH15,616.5569447773408,-1.0264658829513535,0.31619945533351446,-3.2462607561062327,0.001169316837473953,0.04693678814281411
CA8,19.86701784978111,-1.7338362354861943,0.5281049500966151,-3.28312816452297,0.001026619799402527,0.04693678814281411
MT-CO2,107.42048145079218,1.6649751209447694,0.5086011324143948,3.2736362835861557,0.0010617317768641702,0.04693678814281411
BIN1,27.83670887233311,1.802243927932348,0.5546976597206176,3.2490563036449034,0.001157885573465217,0.04693678814281411
HS6ST3,128.1970250227054,-0.9445803140410909,0.2902270264841903,-3.2546256132095457,0.0011354193594602525,0.04693678814281411
MT-ATP6,49.58396843285177,2.0756806160558656,0.6320499067105995,3.2840454432758426,0.001023284210485845,0.04693678814281411
NCALD,66.91930251403174,-1.4232077878133809,0.43357329806170886,-3.2825079269775994,0.0010288809282659598,0.04693678814281411
SHC3,46.64023318575738,-1.221782179417408,0.3786942968982023,-3.226302031545614,0.0012540094939990742,0.04863006308932003
FAM66D,17.05239681837701,-1.8308306998697383,0.5673552265453948,-3.2269566123812754,0.001251144301579908,0.04863006308932003
CRISPLD2,20.72387001650662,2.2845244122307666,0.7141944214035912,3.198743008578867,0.0013802815014191336,0.04981255880609604
CTD-2341M24.1,31.483983367487095,-1.3349723834706475,0.4169814204182015,-3.2015152668715285,0.0013670683071978268,0.04981255880609604
SMOC1,168.14523551755283,0.866647414439996,0.27013093877349004,3.208249371119598,0.0013354564933544379,0.04981255880609604
SOX6,252.61175897680042,-0.9512236892963726,0.29762726401268175,-3.1960233631548,0.0013933582882824065,0.04981255880609604
ARFGAP1,15.69921610268809,1.6389207771204457,0.511358864688361,3.2050305378381543,0.001350481516092218,0.04981255880609604
INF2,17.52558700096091,2.11598733373778,0.66463513196782,3.1836826432464775,0.0014541434319704453,0.05118584880535968
HSPB1,28.796295310320215,2.0493172540824567,0.6535466111080319,3.1356864518171332,0.0017145240314617436,0.059436833090673775
NFKBIA,16.794334725260523,1.6162261144562027,0.5163713172807126,3.1299688041688443,0.0017482486782995337,0.05970138770073632
THSD7A,30.75982639912807,-1.3681590210556647,0.43884033900957353,-3.1176692282744263,0.0018228726125245594,0.06133430202141459
RALGDS,20.256335499251737,1.4427374364394925,0.46340964690020775,3.1133090260207217,0.0018500219601339457,0.06134565572154301
RPS28,18.938636938389035,1.4987849072604695,0.48505438359274,3.089931681802664,0.0020020253992545363,0.06543763019277683
MIR3681HG,60.63681930863251,-1.2328285375059338,0.4001065186663074,-3.081250816945885,0.002061329304714343,0.06642706266459741
EEF2K,23.113516422413767,1.685543745523138,0.5511667999824582,3.05813729269757,0.00222717511866621,0.07057946477206169
LUZP2,304.21029034035547,-0.913692991604036,0.29909780014561593,-3.0548301965417473,0.0022518797763813386,0.07057946477206169
KCTD16,47.630136228437244,-1.2618040543874918,0.4173969661108719,-3.0230312073047565,0.0025025643440412604,0.07737658404278924
CTD-2537O9.1,30.997837388059306,-1.4923334618164306,0.49586856205883734,-3.0095343322841215,0.0026164850557895895,0.0791028093826767
S100B,42.499176690347376,-1.1998134527672009,0.3988405752478068,-3.0082532400865567,0.0026275408711028975,0.0791028093826767
CNTN4,27.42275168773844,-1.3262870581686754,0.44161674574237253,-3.0032535472339084,0.0026710979416116267,0.07936976740788834
PTN,83.92148418409879,-1.0296976131645514,0.3445866485633159,-2.988210998475033,0.0028061575133639855,0.0801708732472007
FGF12,223.82659838207883,-0.7534656516722003,0.25364086021516796,-2.9706004428191193,0.0029721819456355746,0.0801708732472007
INPP4B,14.99406434651133,-1.7168079173643234,0.5780574023479593,-2.9699609595707552,0.0029783759729073685,0.0801708732472007
H3F3B,48.29919403170479,-1.1088046557018718,0.37212034868959176,-2.9796936921253754,0.0028853674816080796,0.0801708732472007
RGS6,40.83932693796395,-1.6988697664936323,0.5718946390578237,-2.970599216129147,0.0029721938160807817,0.0801708732472007
KIAA0930,22.720191731217692,1.521946248166064,0.5099912627438588,2.9842594556967064,0.00284265614393637,0.0801708732472007
DLG2,369.96050023109393,-0.6632354624155447,0.22282482597411737,-2.976488187598019,0.002915703143152564,0.0801708732472007
FOXN3,47.03732724521877,-1.0972582868395826,0.3677791217211983,-2.9834708444145437,0.0028499918727166776,0.0801708732472007
LINC00461,35.06494314297683,-1.2385184840138503,0.4181922740296077,-2.9616005864473816,0.003060445098857826,0.08056398179329309
MED12L,22.518887471060268,-1.395570821739613,0.47237665535797224,-2.9543602671940556,0.0031331800517772,0.08056398179329309
TYRO3,17.50644244769072,1.4057825917237612,0.47519595466486114,2.9583218836852465,0.0030931894345452627,0.08056398179329309
GPM6A,238.46019673183545,-0.7786378340715121,0.2635611552314992,-2.9542966352063327,0.0031338262148614886,0.08056398179329309
ATP8A2,18.23830471328868,-1.6164271499213911,0.5492901664802051,-2.9427563946379927,0.0032530428643415205,0.08269957859570443
SLC6A8,15.514931066970112,1.9077249331947363,0.6504598012175634,2.93288675122392,0.0033582636459683545,0.08443634309863292
PREX2,28.529205461968328,-1.2751071833861394,0.43651253536703366,-2.9211238626033693,0.0034877113620988844,0.0858051999621747
CD81,55.00940218580998,1.2382780964354367,0.423714351282782,2.922436053172588,0.0034730493001665108,0.0858051999621747
MAGI1,59.51328789680928,-0.9524416423726288,0.3265265057777959,-2.9168892127268022,0.0035354132326958524,0.08605346251497989
AC004158.3,25.04004037225069,-1.3658008635099848,0.4707436188148418,-2.90136883203763,0.0037153628733973677,0.08948158162455976
NXPH1,196.50526860754474,-0.8755554708438981,0.3032322173946294,-2.8874091228388226,0.0038842879559141496,0.09257552961595389
ACSS1,17.711842530585997,1.4270680096183028,0.495478501394355,2.8801814924407565,0.003974463061655803,0.09374815963988122
NRXN3,96.21978497304633,-1.2297096819945803,0.4312222319567274,-2.8516843308718376,0.004348826374533651,0.10050620954477771
ZEB1,116.34135569037579,-1.0341247025958704,0.3624798549073415,-2.8529163444413133,0.0043320023878185504,0.10050620954477771
LIFR,41.80848727148551,1.2084244470962844,0.4242474669134936,2.8483951970011145,0.004394032295719785,0.10053545892606866
ATP2C2,14.726239310593458,-1.690105190690871,0.5956021380070619,-2.837641242098483,0.004544823381606867,0.10128213718317225
SEMA6D,19.443283273667582,-1.5682404115508106,0.5529067318498246,-2.836356154145653,0.004563152862961618,0.10128213718317225
SLC4A10,26.870226477229977,-1.2158837514766219,0.42910602316044816,-2.8335275802502258,0.004603733508326011,0.10128213718317225
PPFIA2,88.33194582734967,-0.9175163414880185,0.32305244522671733,-2.8401467162525518,0.004509278923288441,0.10128213718317225
VEGFA,18.479052870318217,-1.73908941901138,0.6144357616832704,-2.830384439615099,0.004649210289746196,0.10130850612323139
SGK1,99.44038945605286,0.7422613520235041,0.2627610568625158,2.8248529705521648,0.004730231624139603,0.10210160335878692
SGCZ,189.976018788093,-0.8217482166976607,0.2922565049212117,-2.811736275704771,0.004927488583115467,0.10373542729404513
EEF1D,17.203711794567017,1.4558899998156565,0.517639385376789,2.812556464875477,0.004914939341350034,0.10373542729404513
GPRC5B,54.22317827514856,1.587055478650183,0.5646288795517675,2.810794020862114,0.00494194124783694,0.10373542729404513
LRP4-AS1,18.80050984429513,-1.7048069584398693,0.6080938800696812,-2.8035259263660346,0.005054716809444554,0.10513810963644672
HSP90AB1,45.32494943871817,1.2859935377801635,0.45992504893797326,2.796093712985822,0.005172439981114498,0.10566555961419616
PTGES3,26.094640486326,1.7598405738762626,0.6288722018710172,2.7984073212973866,0.005135530496040911,0.10566555961419616
CNTNAP2,109.72444225632574,-0.9690954136017262,0.3477556918784913,-2.7867133054441453,0.005324556266226145,0.106864778395837
LRFN5,45.96398144007992,-0.982912365248772,0.3525634317093793,-2.7879021953104717,0.005305055728056832,0.106864778395837
FAT3,17.820934979537252,-1.4410150184169024,0.5201293056449059,-2.7704938037094347,0.005597136515554754,0.11135868128338501
PLXNB1,23.54931927768205,1.5423893610752022,0.561293013900963,2.747921892623713,0.005997429442197235,0.11829412554954546
PTPRD,181.43629906377487,-0.7142137294612697,0.26193620242233273,-2.7266705512883154,0.006397688030907993,0.12405008656540245
QDPR,49.768816075810776,1.644386530616189,0.6029917371126893,2.7270465404551305,0.006390402500450834,0.12405008656540245
ENTPD1-AS1,27.14930222334685,-1.2878995015795263,0.47435838589879664,-2.7150347498110783,0.006626881652136145,0.12741432958056723
CACNB2,29.8717670151071,-1.3674570930662195,0.5042887934064123,-2.7116547322600715,0.0066948286538769065,0.12764806633391967
MT-CO1,37.48917152419471,1.151800147129417,0.4269754713129926,2.697579192517817,0.006984566959056178,0.1320718115894259
SOX4,18.195185175849463,-1.563008144469504,0.580304457496357,-2.693427776193355,0.007072146591771041,0.13263173280305035
NGFRAP1,28.093821638927604,-1.2304977627533111,0.45796951099491157,-2.6868552015179525,0.007212821297944986,0.13417020430648885
KCNMB2-AS1,96.3984569737424,-1.133299234234829,0.4256021434847252,-2.6628137371575593,0.007749029458021843,0.14220477242249532
NCOR2,22.26919768805818,1.2472234918363592,0.46948152041986174,2.6565976243771114,0.00789335930841648,0.14220477242249532
BRINP1,37.64410209529537,-1.0421672096168564,0.3916729695806701,-2.660809630883166,0.007795301708378734,0.14220477242249532
MEG3,278.8019653281669,-0.7022755453746604,0.264283714015067,-2.65727893219566,0.007877423598926575,0.14220477242249532
NTRK2,88.21010687426747,-0.9108359058343318,0.34432827719306913,-2.645254445145714,0.008162950965600733,0.14478164193251533
ARHGAP42,34.31156629181154,-1.0389924961204595,0.3925789899546316,-2.646582019686104,0.008130978459657517,0.14478164193251533
FHIT,152.61731171596244,-0.7886600123828013,0.29994772051981466,-2.6293249070739377,0.008555457661953187,0.14978058246545126
WSB1,92.0677238317741,-0.8727005658600689,0.3320121091632372,-2.6285202912011765,0.008575723908642533,0.14978058246545126
CNTN3,48.73125915540677,0.8938109633931643,0.3407832957308476,2.62281330860507,0.008720704415072455,0.15002234362169758
DPP7,15.755515181054818,1.5207653028249093,0.579436121965954,2.6245607499669568,0.008676081366920838,0.15002234362169758
NUPL2,28.6770537363909,-1.136929657383604,0.4344221105729644,-2.617108175926161,0.00886782329595094,0.15141477388907276
TEK,15.882565219148722,-1.4045901433381556,0.5428804601795274,-2.5872917637773623,0.009673364487234314,0.1603815793245805
LINC01572,25.984435388964076,-1.2383639500506447,0.478330499517907,-2.588929519022411,0.00962747973950632,0.1603815793245805
VWA1,14.986469872661194,1.3769066159198085,0.5309585641736566,2.5932468347369455,0.009507450756294639,0.1603815793245805
