,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CD163,14.834387056003385,5.220060122463677,0.953666968984207,5.473671933949641,4.408047891302006e-08,7.590658468822054e-05
FKBP5,46.571974167320924,2.8510120517635276,0.5480676546125708,5.201934519888623,1.972247195688424e-07,0.00016981048354877332
DPYD,52.02463781307665,2.499247599621601,0.4943363469174262,5.055763378934939,4.286725689977626e-07,0.0002460580546047157
DPP10,21.418381367761018,-2.996891290451958,0.677096471329645,-4.426092022849899,9.595560250685077e-06,0.004130888687919925
RP11-480C22.1,12.54253817429455,-4.096709235171279,0.9641966444141647,-4.248831666138388,2.1488831409522495e-05,0.006167294614532956
SLC11A1,16.60412779506284,3.007686432505385,0.701744963928283,4.2860107120238125,1.8191021980275282e-05,0.006167294614532956
CX3CR1,23.835925552360347,-2.4161697669817137,0.6045153298873309,-3.9968709601327026,6.418526571418906e-05,0.012280780839981508
SPP1,153.67629509956114,1.8240919256985315,0.4551772804573539,4.007431838130666,6.13825685671454e-05,0.012280780839981508
LINGO1,115.77636518446927,2.5352673387348537,0.626907488552862,4.0440852678075405,5.252780114442618e-05,0.012280780839981508
MT-ATP6,19.1905456830028,2.6867232960257628,0.6856760625525011,3.9183565575034853,8.915475945089718e-05,0.015352449577444494
CCL3,9.944472688994885,-4.706946430388097,1.2138278375579692,-3.8777710353535255,0.00010541785742150013,0.016502686407256655
MT-CYB,19.73208469732204,2.516705680569264,0.6557237352948109,3.8380579276084354,0.00012401123090619988,0.017795611635039683
CD83,11.465927044610176,-4.197821586514189,1.107149884562868,-3.791556721492682,0.00014970594675709864,0.01983028002428645
HSP90B1,14.757191027046114,2.4904445279905425,0.6693993905051904,3.72041648575602,0.00019889450625951662,0.024319443302289613
LSAMP,22.98143034448283,-2.102823164366385,0.5676463976863049,-3.7044596300397132,0.00021184184061227886,0.024319443302289613
MCF2L2,24.331199121763674,-2.3889818205631803,0.6486999419699372,-3.6827224206440476,0.0002307563816279146,0.02483515557270431
CD163L1,7.698388227609914,3.3001492774951227,0.9055843018527905,3.6442209419301386,0.0002682029549253757,0.02716738166949982
SRGN,50.80755061269948,-2.601624354138212,0.7194903516861559,-3.61592667370896,0.0002992750887994095,0.027832170947132685
OLR1,33.77974179866053,-2.338689920943929,0.6479723400258385,-3.6092434452536537,0.0003070913170705697,0.027832170947132685
ACSL1,14.307461991676353,2.4072235528969923,0.6705211010116224,3.5900787451210525,0.00033057807949886977,0.028462772644852686
LPAR6,56.792659098995415,-1.6285664162222588,0.45698969187423993,-3.563683044015855,0.0003656874819931145,0.02998637352343539
FMN1,28.652239949407107,1.7169256136781945,0.4921902032699286,3.488337643194805,0.0004860338959939305,0.03804319858643401
SNX6,17.146078731241587,2.4734598727179686,0.7218001205484089,3.4267933771453025,0.0006107536104367209,0.045726857268349276
MT-ND4,38.56976886480226,2.1524866893811048,0.6321604304866498,3.4049690325034687,0.0006617155720574846,0.04747809229512452
LINC00486,588.5636742386745,1.5351290224860594,0.45476260241651745,3.37567120587465,0.0007363586125790378,0.049491855840772335
BOK,8.103646159705866,3.5526745407765867,1.0536983054476607,3.3716240430577926,0.000747263793182393,0.049491855840772335
NAV2,16.86782711261812,-2.205633887341887,0.6563641237524108,-3.360381543604722,0.0007783490023286976,0.04964136970407471
NTM,15.310529288131887,-2.1132358447688033,0.6325166916976747,-3.3409961705467075,0.0008347837443234273,0.05133920027589078
CALR,9.768693546763293,2.5639208870489436,0.7804523692632178,3.2851727895571647,0.0010191984725056087,0.060519302401884766
PPP2R2B,19.39617238507389,-2.0910354301286054,0.6408874574934889,-3.2627186032110003,0.0011034903023290558,0.06334034335368781
NKAIN3,6.980996608484507,-3.4016556259348976,1.0611900424864043,-3.205510313651929,0.0013482321500322663,0.07208759502518478
DUSP1,15.758321690635013,-2.5662975434933415,0.7988339910172946,-3.2125542632771893,0.0013156029343539947,0.07208759502518478
P2RY12,33.56967762442935,-1.839246456487294,0.5750349752148898,-3.1984949364166417,0.0013814695910749695,0.07208759502518478
MT-ND2,18.81356406591834,2.2257882751170714,0.7008166165842077,3.17599243860056,0.0014932484336729487,0.07562864125837698
HSPA5,11.481136065755848,2.7670445290830568,0.8790366959144389,3.1478145815113816,0.0016449599989363478,0.08093203194766832
MT-CO3,34.03643116252903,1.9084031817814073,0.611598158375955,3.120354689832624,0.0018063339410501918,0.08640297351356752
F13A1,8.70956215208574,2.6183966513690913,0.8490867864167445,3.083779765810586,0.0020438883758250224,0.09512366981542401
P2RY13,7.667030730812257,-2.7254315299399567,0.8947046992160864,-3.0461799656667705,0.002317690658566645,0.09740928131175096
MT-ND3,16.45539815578688,2.433232067554799,0.7988351185614582,3.045975334605422,0.002319268602660737,0.09740928131175096
DLC1,7.303224960257314,-2.775700133523722,0.9104945469769106,-3.048563160251537,0.002299385717699778,0.09740928131175096
LINC01268,8.046404576570474,-2.735176268158011,0.8939126853413129,-3.059780125073031,0.002214995396087872,0.09740928131175096
ZNF331,8.179313042385361,-3.0223409079840624,0.995715947379332,-3.035344483473115,0.002402610939953283,0.0985070485380846
ZBTB16,11.116746882574892,2.4729687228638775,0.8197045362946012,3.016902570824733,0.002553718765014918,0.10226752821757415
MT-ND1,13.199427214103089,2.249299011663577,0.7527724632677084,2.988019782099361,0.0028079137926168046,0.1028771819337476
TLR2,12.586707598392985,1.8770854580090168,0.628189307892363,2.988088836320413,0.002807279429418191,0.1028771819337476
RPS28,23.476279562172266,1.8467340897198845,0.6142591834434978,3.0064411562676376,0.002643252072236413,0.1028771819337476
MT-CO2,32.6871560170402,1.8713547912349966,0.6254549655863191,2.9919896622464828,0.0027716564858988866,0.1028771819337476
NRXN1,11.486764080910788,-2.355967703892756,0.7997103772621683,-2.946026175074131,0.0032188516007302685,0.11547630117619838
RP11-556E13.1,44.99419744894046,1.4751914889291489,0.5022534324378325,2.9371456592519034,0.0033124847858818163,0.11641017961813241
BTG2,8.785530300091564,-2.5784508611764547,0.8836874230573422,-2.9178313438655104,0.0035247493998684532,0.11954629997725486
NRG3,11.670956263434734,-2.0493602066701904,0.7026937049336794,-2.9164345607217443,0.003540569859953541,0.11954629997725486
SPARCL1,7.729564206916247,-2.447995391064855,0.8519415688181418,-2.873431090421897,0.004060396462136068,0.12948153162589462
PCDH9,57.823748365964484,-1.2692313775603583,0.44008629414643063,-2.884051138248002,0.003925949943555098,0.12948153162589462
STAB1,11.356814307907229,2.6314876541659418,0.9157632150101767,2.873545924354145,0.004058920621769528,0.12948153162589462
PLEKHA6,11.440687341267903,2.139194049168236,0.7534967594904664,2.8390222283302364,0.004525200449807591,0.13708363047805155
GPM6A,18.07157799546951,-1.6950630580328596,0.5972426252267982,-2.838148160287744,0.004537611461817037,0.13708363047805155
FCGBP,17.36886617122869,2.3005272070113016,0.8078489186619038,2.847719609282667,0.004403370148239253,0.13708363047805155
GLDN,21.740745706362166,1.6972416858928856,0.5993720415767607,2.8316997927163445,0.004630129732947361,0.13746695517474752
ADGRV1,7.017311921308469,-2.9847359070587323,1.0618932836188748,-2.8107682317067813,0.0049423373502213,0.1395650774922929
