,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CEMIP,52.91999418061001,-3.4160208966663297,0.472779188405512,-7.22540454495713,4.996123034176909e-13,4.84873740466869e-09
FKBP5,198.68498720975424,3.3886259583099547,0.4938820700287406,6.861204655825548,6.828225571656733e-12,3.31339645864643e-08
NPTX2,36.90400994165467,5.3192748913358505,0.7959423798594342,6.682989907228273,2.3411570531147126e-11,7.573643066826095e-08
AZGP1,59.42946235633203,3.053806855748194,0.5029212545781074,6.072137194340661,1.2621902492971383e-09,3.062389092357182e-06
PPP1R14A,503.5727048662755,-1.61257537718203,0.2873814134570518,-5.611272342854643,2.008443858696656e-08,3.898389529730209e-05
SLC6A1-AS1,55.20706646823067,-2.7393361991377976,0.5341733648384172,-5.128178189802525,2.925594698001322e-07,0.00047321494240171386
PRKX,44.98442984768385,2.487117394911698,0.5065022154619018,4.910378116793795,9.090094209448112e-07,0.0011027420537836742
BCYRN1,129.40364778769512,2.0908926753475985,0.4245245490687215,4.925257396620253,8.424937912309951e-07,0.0011027420537836742
ITGB4,43.242580834068555,2.596543495708569,0.5367679687671499,4.837366696213853,1.3157056534222707e-06,0.0014187692629403486
SAMHD1,28.422868659877185,3.0401550412370315,0.6467037120535121,4.701001377560472,2.588887683639183e-06,0.0025125154969718273
CTNNA2,384.167259883382,-1.8818461621397486,0.4041391100486418,-4.65643169727684,3.2173695050495045e-06,0.002838597367864131
LINC00486,8165.134424840161,1.7515102143892607,0.3813013785420714,4.593506116044648,4.35860239361982e-06,0.0029981644004245284
ZFYVE16,390.9949292101376,-1.5263113937851933,0.3314972248443685,-4.604296143057508,4.1386318964457e-06,0.0029981644004245284
GALNT13,337.06933976869374,-1.3980156720000605,0.3051961269836946,-4.5807123629545625,4.633948068662332e-06,0.0029981644004245284
NEAT1,1417.9493000224431,2.1556279882544462,0.4670116226592015,4.615790878993821,3.916011224863069e-06,0.0029981644004245284
MIR100HG,149.0778919412741,-1.7814154542732132,0.3951697979750001,-4.507974707079998,6.544937598595531e-06,0.0037363893761393897
SEMA4B,31.116487053064617,2.7896871566150003,0.617703645687748,4.516222586818275,6.295249347695282e-06,0.0037363893761393897
IFNG-AS1,50.49977232594876,-2.4912191493470175,0.5611411265745879,-4.439559018877009,9.01433926667867e-06,0.00463899743656174
SLC6A8,170.064421169276,1.630575509576941,0.36741646262731026,4.437948963737423,9.082014558956522e-06,0.00463899743656174
CH507-513H4.1,40.14094822496344,2.617448348471891,0.5933181164507073,4.411542941128694,1.0263659342730827e-05,0.00490320563277059
MDGA2,279.8844222830991,-1.5491499866238685,0.3517310993889312,-4.404358867655532,1.0609718525315031e-05,0.00490320563277059
HS3ST5,388.3534217216145,-1.4552476203608926,0.3323441316751259,-4.3787372234495505,1.1936895854904073e-05,0.005265798830538365
SLC26A3,80.88218645691653,2.7728700970114684,0.6354275104620613,4.363786665445335,1.27830241292433e-05,0.005393880398882879
WIF1,9.740573643363353,-4.645278567476509,1.0953687374737588,-4.240835445230874,2.226893571103686e-05,0.00900500087815053
METTL7A,95.02598385046826,1.7003448082545227,0.40185488428367017,4.231240865183179,2.3240563628531797e-05,0.009021986800596044
VIP,9.96337168662259,-3.975054223087313,0.9482779723685564,-4.19186603392109,2.766693610732058e-05,0.009944726478575788
LSAMP-AS1,79.76777134724627,-1.7976894881179208,0.4284809166536481,-4.195494870944366,2.7227644847342318e-05,0.009944726478575788
MT-ND1,240.81836716834346,2.04638996242292,0.4944099327293693,4.139055117938084,3.487391655817339e-05,0.012087548578466882
BCOR,100.04717274231284,2.1977633252888116,0.5333615650046406,4.120588114124214,3.779065005565692e-05,0.012646836510005187
MIR219A2,1009.94891899804,-1.4231605387267676,0.3492157251855416,-4.075304850520775,4.595410613418769e-05,0.01468769565251177
PLXND1,44.329541648900864,2.318500660406818,0.5695886634193208,4.070482453931812,4.691587483027974e-05,0.01468769565251177
NFKBIA,89.80090702186583,1.5971417227019715,0.39690131101419324,4.024027329667494,5.721127366799885e-05,0.017351106592122776
TMEM125,87.25825973309615,-1.5437879618843253,0.3897696116427699,-3.960770454571075,7.470832376531861e-05,0.021971038852800516
SVIL,17.005317814034324,-2.4876637948383302,0.6303603147570379,-3.9464156238914874,7.932985968206196e-05,0.02264400847689445
OLR1,10.646765562841102,-4.519854875871382,1.1481549317934499,-3.9366245362124115,8.263574485824919e-05,0.02291371153855167
LINC01299,25.009013852275373,-2.237975319147642,0.5714596066676101,-3.9162441107571797,8.99391819599436e-05,0.02408185993164217
CMTM5,113.99794852891603,-1.50914712269861,0.3858456111926003,-3.9112719671322056,9.181131555597736e-05,0.02408185993164217
OPALIN,446.03398651345856,-1.1602351073272912,0.30119077623890467,-3.8521601551535967,0.00011708040388212407,0.029901718938842477
SERPINH1,17.536038799117666,4.017360712841215,1.0460475809030596,3.840514319026484,0.00012277681021737383,0.03055253700409264
PER1,66.33485691721667,1.8108799609248771,0.47228974188773765,3.8342563903395552,0.00012594472125544243,0.030557337994601717
MKNK2,27.95322959001742,2.848370717023565,0.7455416232389148,3.82053882471265,0.00013316044060073586,0.0315200506348815
STIP1,103.35789103754064,2.219584295457561,0.5847596108699188,3.7957209324966747,0.00014721502543680188,0.03247095049691278
PTN,284.09797775467916,-1.2779408577084381,0.33648937066393847,-3.7978639717114695,0.00014594837616307404,0.03247095049691278
SNTB1,28.972759107794612,-2.1089944377641765,0.5551336858787755,-3.799074874056044,0.00014523721372465185,0.03247095049691278
NAALADL2,388.2617208624197,-1.3319120634551744,0.3517841798176664,-3.786162482194393,0.00015299165807892761,0.03299520092568872
CDH8,83.1025135323664,-1.3228620760406884,0.35135558453242066,-3.765023623578193,0.00016653333676330297,0.03513491376712729
SST,7.376247621653266,-5.653320116456796,1.5123198179913309,-3.7381776322719604,0.0001853589693344119,0.038274655263626965
KIF19,73.30354140932823,2.0162443918596917,0.5451846382325923,3.6982780703360545,0.00021706701975557607,0.043888238056830536
RHBDL3,18.19163527786858,2.8208178412600025,0.7640609904343549,3.691875225374899,0.00022260667484655475,0.04408975059971049
